"Société de Zofingue"	"Zofingue, Genève"
"Kisfaludi, Eörs"	"Kisfaludy, Örs"
"Kipnis, Alex"	"Kipnis, Alexandre"
"Ketten, L."	"Ketten, Léopold"
"Ketten, Leopold"	"Ketten, Léopold"
"Ketten, Henry"	"Ketten, Henri"
"Kawamichi Luyet, Hiroko"	"Kawamichi-Luyet, Hiroko"
"Kawamichi, Hiroko"	"Kawamichi-Luyet, Hiroko"
"Kaufmann, G."	"Kaufmann, Georges"
"Karr, I."	"Karr, Isidore"
"Karjinsky"	"Karjinski"
"Kaëmpfe"	"Kaempfe"
"Collège de cordes de la Jeune Philharmonie de Suisse Centrale"	"Junge Philharmonie Zentralschweiz"
"Jodlerclub Alphüttli"	"Jodlerclub Alphüttli, Genève"
"Jodler Alpen-Club"	"Jodler Alpen-Club, Genève"
"Joachim, J."	"Joachim, Joseph"
"Jim-Gérald's"	"Jim-Géralds"
"Jauch, Th."	"Jauch, T."
"Jasinski, Eugène"	"Jasinsky, Eugène"
"Jaques-Dalcroze, N."	"Jaques-Dalcroze, Nina"
"Jaques-Dalcroze, N. (Mme)"	"Jaques-Dalcroze, Nina"
"Jaques-Dalcroze, Émile"	"Jaques-Dalcroze, Emile"
"Jaques, Emile"	"Jaques-Dalcroze, Emile"
"Janet, L."	"Janet, Lambert"
"Jandelli, D."	"Jandelli, Dante"
"Jaggi, M"	"Jaggi, M."
"Jacottet, Edouard"	"Jaccottet, Edouard"
"Jaccottet, Christina"	"Jaccottet, Christiane"
"J. , Marie"	"J., Marie"
"Ivasieff"	"Ivasief"
"Huguenin, Ch."	"Huguenin, Charles"
"Huber, H."	"Huber, Heinrich"
"Hottiger, Jean-Luc"	"Hottinger, Jean-Luc"
"Hostetter, Jacques"	"Hostettler, Jacques"
"Jean-Hort"	"Hort, Jean"
"Hoogstoël, L."	"Hoogstoël, Léon"
"Honegger, H."	"Honegger, Henri"
"Honegger, Henry"	"Honegger, Henri"
"Holzmann, A"	"Holzmann, A."
"Holtzmann"	"Holzmann"
"Hoegen, P."	"Hoegen, Paul"
"Hinden, A."	"Hinden, Adolphe"
"Heure musicale"	"Heure musicale, Genève"
"Hermann, A."	"Hermann, Alfred"
"Held, Ch."	"Held, Charles"
"Helaerts, H."	"Helaerts, Henri"
"Hélaerts, Henri"	"Helaerts, Henri"
"Helaerts, G."	"Helaerts, Guillaume"
"Hélaerts, G."	"Helaerts, Guillaume"
"Otto Hegner"	"Hegner, Otto"
"Hay, F."	"Hay, Frederik Charles"
"Harndorff, E."	"Harndorff, Edouard"
"Harndorrf"	"Harndorff"
"L'Harmonie"	"Harmonie, Genève"
"Harmonie municipale de Genève"	"Harmonie nautique, Genève"
"Harmonie N autique"	"Harmonie nautique, Genève"
"Harmonie nautique"	"Harmonie nautique, Genève"
"Harmonie Nautique"	"Harmonie nautique, Genève"
"Harmonie Nautique "	"Harmonie nautique, Genève"
"Harmonie Nautique de Genève"	"Harmonie nautique, Genève"
"Harmonie nautique de Genève"	"Harmonie nautique, Genève"
"Harmonie Nautique, Genève"	"Harmonie nautique, Genève"
"Harmonie des Mines de Blanzy"	"Harmonie des mines de Blanzy"
"Harmonic-Express des chemins de fer de l'est (Paris)"	"Harmonic-Express des chemins de fer de l'est, Paris"
"Handharmonika-Orchester (Lucerne)"	"Handharmonika-Orchester, Luzern"
"Handenhove, Yves Van"	"Handenhove, Yves van"
"de Haas, Robin"	"Haas, Robin"
"H.F."	"H. F."
"H.B."	"H. B."
"Guilhot, R."	"Guilhot, Richard"
"Gugolz, R."	"Gugolz, Robert"
"Gschwend, I."	"Gschwend, Irène"
"Gründer, Anne-Marie"	"Grunder, Anne-Marie"
"Gruet, E."	"Gruet, Edouard"
"Groupe Motet du Conservatoire"	"Groupe motet du Conservatoire de Genève"
"Groupe Lyrique"	"Groupe lyrique, Genève"
"Groupe choral"	"Groupe choral, Genève"
"Grétillat, N."	"Grétillat, Nelly"
"Grétillat, N. (Mme)"	"Grétillat, Nelly"
"Gretillat, Nelly"	"Grétillat, Nelly"
"La Grégorienne"	"Grégorienne, Genève"
"Société La Grégorienne"	"Grégorienne, Genève"
"Grégoire, V."	"Grégoire, Victor"
"Grégoire , Joseph"	"Grégoire, Joseph"
"Grégoire, J."	"Grégoire, Joseph"
"Grégoire, E."	"Grégoire, Esther"
"Grégoire , Baptiste"	"Grégoire, Baptiste"
"Grégoire Baptiste"	"Grégoire, Baptiste"
"Grégoire, B."	"Grégoire, Baptiste"
"Grégoire, Alph."	"Grégoire, Alphonse"
"De Greef, Arthur"	"Greef, Arthur de"
"Gras, Marg."	"Gras, Marguerite"
"Grand Orchestre de Vienne"	"Grand Orchestre, Wien"
"Grand Orchestre Symphonique"	"Grand orchestre symphonique, Genève"
"Graeter, Ferd."	"Graeter, Ferdinand"
"Gonçalves, Rogerio"	"Gonçalves, Rogério"
"Goltz, Gottfried van der"	"Goltz, Gottfried von der"
"Goffoel"	"Goffoël"
"Gobalet, L. (Mme)"	"Gobalet, Lily"
"Glashagen, Gabriela"	"Glashagen, Gabriele"
"Giroud, A."	"Giroud, Auguste"
"Giordani, Raffele"	"Giordani, Raffaele"
"Gionli (Mlle), C."	"Gionli, C. (Mlle)"
"Gieseking, Walther"	"Gieseking, Walter"
"Ghazarhyan, Armen"	"Ghazaryan, Armen"
"Ghazarian, Armen"	"Ghazaryan, Armen"
"Geyer, Stéfi"	"Geyer, Stefi"
"Gesangverein de Bâle"	"Gesangverein Basel"
"Geloso, A."	"Geloso, Albert"
"Gay Des Combes, Céline"	"Gay des Combes, Céline"
"Gay des Combres, Céline"	"Gay des Combes, Céline"
"Gautier, Noemi"	"Gautier, Noémie"
"Gardon, L. (Mme)"	"Gardon, Louise"
"Gantcheva, Katerina"	"Gancheva, Katerina"
"Gamboni, Y."	"Gamboni, Yvonne"
"Galin-Paris-Chevé"	"Galin-Paris-Chevé, Genève"
"Société de Galin-Paris-Chevé"	"Galin-Paris-Chevé, Genève"
"Société Galin-Paris-Chevé"	"Galin-Paris-Chevé, Genève"
"Société genevoise de l'école Galin-Paris-Chevé"	"Galin-Paris-Chevé, Genève"
"Société genevoise Mixte Galin-Paris-Chevé"	"Galin-Paris-Chevé, Genève"
"Société Mixte de Galin-Paris-Chevé"	"Galin-Paris-Chevé, Genève"
"(Galeotti, C.)"	"Galeotti, C."
"Gagnebin, H."	"Gagnebin, Henri"
"Gabelles, G."	"Gabelles, Gustave"
"G***"	"G."
"Fumeaux, E."	"Fumeaux, Elie"
"Froschammer, Félix"	"Froschhammer, Felix"
"Froschhammer, Félix"	"Froschhammer, Felix"
"Frohsinn de Vevey"	"Frohsinn, Vevey"
"Frohsinn Vevey"	"Frohsinn, Vevey"
"Frohsinn Lausanne"	"Frohsinn, Lausanne"
"Frohsinn"	"Frohsinn, Genève"
"Sängerbund Frohsinn"	"Frohsinn, Genève"
"Frey, Emile"	"Frey, Emil"
"Frey, Émile"	"Frey, Emil"
"Freud, R."	"Freund, Robert"
"Freund, R."	"Freund, Robert"
"Freiheit"	"Freiheit, Genève"
"Männerchor Freiheit"	"Freiheit, Genève"
"Frederic (Mme)"	"Frédéric (Mme)"
"Fréderic (Mme)"	"Frédéric (Mme)"
"Frederic"	"Frédéric"
"Fréderic"	"Frédéric"
"Frauenchor Vorwärts"	"Frauenchor Vorwärts, Genève"
"Frauen- und Töchterchor Vorwärts"	"Frauen- und Töchterchor Vorwärts, Genève"
"Francoual, Ch."	"Francoual, Charles"
"Fraissinet, J. (Mlle)"	"Fraissinet, Juliette"
"Foyer musical"	"Foyer musical, Genève"
"Foyer musical et littéraire"	"Foyer musical et littéraire, Genève"
"Fournier-Bartens (Mme)"	"Fournier-Bartens, Lily"
"Fouilloux, G."	"Fouilloux, Georges"
"Formont, M."	"Formont, Marius"
"Flury, A."	"Flury, Alfred"
"Fischer, Olga (Mlle)"	"Fischer, Olga"
"Fillion, R."	"Fillion, Roger"
"Filliou, Roger"	"Fillion, Roger"
"Filharmonicky Spolek Beseda Brnenska de Brno"	"Filharmonicky Spolek Beseda Brnenska, Brno"
"Festival Strings Lucerne"	"Festival Strings Lucerne, Luzern"
"Ferraris, G."	"Ferraris, Gustave"
"Ferrari, G."	"Ferrari, Gustave"
"Fauvette accordéoniste"	"Fauvette accordéoniste, Genève"
"Fanfare Musique ouvrière de Châtelaine"	"Fanfare ouvrière de Châtelaine"
"Fanfare ouvrière de Châtelaine"	"Fanfare ouvrière de Châtelaine"
"Fanfare Municipale du Corps des Sapeurs-Pompiers"	"Fanfare municipale du corps des sapeurs-pompiers, Genève"
"Fanfare genevoise"	"Fanfare genevoise, Genève"
"Fanfare Genevoise, Genève"	"Fanfare genevoise, Genève"
"La Fanfare Française"	"Fanfare française, Genève"
"Fanfare du Régiment d'infanterie 3 et du Bat. fus. Lw. 103"	"Fanfare du Rgt inf. 3 (Genève) et du Bat. fus. Lw. 103"
"Fanfare du rgt inf. 3"	"Fanfare du Rgt inf. 3 (Genève)"
"Fanfare Régiment Infanterie 3"	"Fanfare du Rgt inf. 3 (Genève)"
"Régiment d'infanterie 3"	"Fanfare du Rgt inf. 3 (Genève)"
"Fanfare d'un Bataillon Genevois"	"Fanfare d'un bataillon, Genève"
"Fanfare du 13ème Bataillon de Chasseurs Alpins Les Diables Bleus"	"Fanfare d'un bataillon, Genève"
"Faller, E."	"Faller, Elise"
"Fahrni, H."	"Fahrni, Hélène"
"Éva"	"Eva"
"European Tuna Octet"	"European Tuba Octet"
"Estudiantina espagnola (étudiants espagnols de Madrid)"	"Estudiantina espagnola, Madrid"
"Estudiantina Eaux-Vivienne"	"Estudiantina eaux-vivienne, Genève"
"Estudiantina Lausannoise Choralia"	"Estudiantina choralia, Lausanne"
"Espinasse, J"	"Espinasse, J."
"La société l' Espérance"	"Espérance, Genève"
"Société Espérance"	"Espérance, Genève"
"Ensemble instrumental"	"Ensemble instrumental du Conservatoire de Lausanne"
"Ensemble instrumental à cordes"	"Ensemble instrumental du Conservatoire de Lausanne"
"Ensemble instrumental de vents"	"Ensemble instrumental du Conservatoire de Lausanne"
"Ensemble instrumental du Conservatoire"	"Ensemble instrumental du Conservatoire de Lausanne"
"Ensemble de cuivres du Conservatoire"	"Ensemble de cuivres du Conservatoire de Lausanne"
"Ensemble Contemporain du Conservatoire"	"Ensemble contemporain du Conservatoire de Lausanne"
"Ensemble contemporain du Conservatoire"	"Ensemble contemporain du Conservatoire de Lausanne"
"L'ensemble contemporain du Conservatoire"	"Ensemble contemporain du Conservatoire de Lausanne"
"Ensemble contemporain de l'HEMU"	"Ensemble contemporain de l'HEMU, Lausanne"
"Enesco, Georges"	"Enescu, George"
"Enesco"	"Enescu"
"Élisa"	"Elisa"
"
          Elèves des deux premières classiques (Collèges de Saint-Antoine et de
          la Prairie)
        "	"Elèves des deux premières classiques (Collèges de Saint-Antoine et de la Prairie)"
"Effeuilleuse"	"Effeuilleuse, Genève"
"Effeuilleuse et Echo Vaudois"	"Effeuilleuse, Genève"
"Edelweiss"	"Edelweiss, Genève"
"L'Edelweiss"	"Edelweiss, Genève"
"École Supérieure de Jeunes Filles"	"Ecole supérieure de jeunes filles, Genève"
"Ecole sociale de musique"	"Ecole sociale de musique, Genève"
"École sociale de musique"	"Ecole sociale de musique, Genève"
"École Sociale de Musique"	"Ecole sociale de musique, Genève"
"Ecole populaire de musique"	"Ecole populaire de musique, Genève"
"École Populaire de Musique"	"Ecole populaire de musique, Genève"
"École populaire de musique"	"Ecole populaire de musique, Genève"
"Echo Vaudois"	"Echo vaudois"
"Echo du Bled"	"Echo du bled"
"Echenard, R."	"Echenard, Robert"
"Dutoit, G."	"Dutoit, Gustave"
"Duret, L."	"Duret, Louis"
"Duret, E."	"Duret, Elise"
"Dupont, G. (Mlle)"	"Dupont, Gabrielle"
"Dunoyer, Marie - Jose"	"Dunoyer, Marie-Jose"
"Dumur, R."	"Dumur, Rose"
"Dumur, M."	"Dumur, Maurice"
"Dula, A."	"Dula, Andor"
"Dufresne, G."	"Dufresne, Germaine"
"Pasquier, Suzanne du"	"Du Pasquier, Suzanne"
"Dovaz, J."	"Dovaz, Jules"
"Dorian, G."	"Dorian, Gita"
"Diémer, Louis"	"Diémer, Louis-Joseph"
"Die Kammermusiker Zurich"	"Die Kammermusiker, Zürich"
"Dides, Etienne"	"Didès, Etienne"
"Stefano, Giuseppe di"	"Di Stefano, Giuseppe"
"Deutsch-Schweizer-Verein"	"Deutsch-Schweizer-Verein, Genève"
"Desjardins, B."	"Desjardins, Blanche"
"Desarzens, V."	"Desarzens, Victor"
"Desarzens, G."	"Desarzens, Georges"
"Désani"	"Desani"
"Déprez, Georges"	"Deprez, Georges"
"Denzler, R."	"Denzler, Robert F."
"Dennes, P."	"Dennes, Paul"
"Denizot, Ch."	"Denizot, Charles"
"Denizot, Charles."	"Denizot, Charles"
"Denéréaz, A."	"Denéréaz, Alexandre"
"Dénéréaz, A."	"Denéréaz, Alexandre"
"Denéréaz, Alex."	"Denéréaz, Alexandre"
"10 sociétés des cantons de Vaud, Neuchâtel, Fribourg, Valais et Genève"	"DELETE"
"Comédie française"	"DELETE"
"Comité italien"	"DELETE"
"Delécra-Bratschy, Germaine"	"Delécra-Bratschi, Germaine"
"Délécra-Bratschi (Mme)"	"Delécra-Bratschi (Mme)"
"Delaye, G."	"Delaye, Georges"
"Delarue, J."	"Delarue, Jean"
"Delaquerrière de Miramont (Mme)"	"Delaquerrière-de Miramont (Mme)"
"Dégoutte"	"Degoutte"
"Defrancesco,Edmond"	"Defrancesco, Edmond"
"Defago, Ed."	"Defago, Edmée"
"Défago, Edmée"	"Defago, Edmée"
"Décompoix, Lucie"	"Decompoix, Lucie"
"Debogis-Bohy, M.-L."	"Debogis-Bohy, Marie-Louise"
"Debogis, Marie-Lise"	"Debogis-Bohy, Marie-Louise"
"Debogis, Marie-Louise"	"Debogis-Bohy, Marie-Louise"
"Stoppani, de (Mme)"	"De Stoppani, (Mme)"
"Stoppany, de (Mme)"	"De Stoppani, (Mme)"
"Daulte, M."	"Daulte, Madeleine"
"Darier, J. S. M."	"Darier, J.-S.-M."
"van Damme"	"Damme, van"
"Dalbe, B. (Mlle)"	"Dalbe, Blanche"
"Cullet, G."	"Cullet, Gaspar"
"La Cruz, de"	"Cruz, de la"
"Cruz-Froehlich, L. de la"	"Cruz-Frölich, Louis de la"
"Cruz, Louis de la"	"Cruz-Frölich, Louis de la"
"Frölich, L. La Cruz-Froehlich, L. de"	"Cruz-Frölich, Louis de la"
"La Cruz-Froehlich, L."	"Cruz-Frölich, Louis de la"
"La Cruz-Froehlich, Louis de"	"Cruz-Frölich, Louis de la"
"La Cruz, L. de"	"Cruz-Frölich, Louis de la"
"La Cruz, Louis de"	"Cruz-Frölich, Louis de la"
"Cruz-Froehlich, de la"	"Cruz-Frölich, de la"
"De la Cruz-Froehlich"	"Cruz-Frölich, de la"
"Crousaz, J. de"	"Crousaz, Juliette de"
"Corps de Musique de Landwehr"	"Corps de musique de Landwehr, Genève"
"Corps de musique de Landwehr"	"Corps de musique de Landwehr, Genève"
"Corps de musique de Landwehr "	"Corps de musique de Landwehr, Genève"
"Corps de musique de Landwehr (Harmonie militaire)"	"Corps de musique de Landwehr, Genève"
"Corps de Musique de Landwehr, Genève"	"Corps de musique de Landwehr, Genève"
"Corps de musique d'harmonie"	"Corps de musique d'harmonie, Genève"
"Corps de Musique d'Elite"	"Corps de musique d'Elite, Genève"
"Corps de musique d'Elite"	"Corps de musique d'Elite, Genève"
"Corps de musique d'Elite "	"Corps de musique d'Elite, Genève"
"Corps de musique d'Elite (Fanfare genevoise)"	"Corps de musique d'Elite (Fanfare genevoise), Genève"
"Corps de musique d'Elite Fanfare genevoise"	"Corps de musique d'Elite (Fanfare genevoise), Genève"
"Coquillot, M. (Mme)"	"Coquillot, Marcelle"
"Concordia"	"Concordia, Genève"
"La Concorde"	"Concordia, Genève"
"La Concordia"	"Concordia, Genève"
"La Concorida"	"Concordia, Genève"
"Société La Concorde"	"Concordia, Genève"
"Société la Concorde"	"Concordia, Genève"
"Orchestre de Munich"	"Concertverein, München"
"Colleguim Musicum de Zurich"	"Collegium musicum, Zürich"
"Choeur et orchestre du Collegium Musicum de Lucerne"	"Collegium Musicum Luzern"
"Collegium Musicum"	"Collegium musicum de l'Université, Genève"
"Club montagnard genevois"	"Club montagnard, Genève"
"Closset, F."	"Closset, Fernand"
"Clément, E."	"Clément, Edmond"
"La Clémence"	"Clémence, Genève"
"Classe de musique contemporaine de l'HEMU (site de Fribourg)"	"Classe de musique contemporaine de l'HEMU, Fribourg"
"Classe de choeurs du Conservatoire"	"Classe de choeurs du Conservatoire, Genève"
"Christen, E."	"Christen, Ernest"
"Chorale populaire l'Avenir"	"Chorale populaire l'Avenir, Genève"
"Chorale ouvrière chênoise"	"Chorale ouvrière, Chêne"
"Chorale ouvrière tessinoise"	"Chorale ouvrière tessinoise, Genève"
"Chorale de Saint-Gervais"	"Chorale de Saint-Gervais, Genève"
"La Chorale de Saint-Gervais"	"Chorale de Saint-Gervais, Genève"
"Choisy, F."	"Choisy, Frank"
"
          Choeurs des Basiliques patriarcales romaines et de la Chapelle Sixtine
          (Société polyphonique romaine)
        "	"Choeurs des Basiliques patriarcales romaines et de la Chapelle Sixtine (Société polyphonique romaine)"
"Choeur Russe"	"Choeur russe"
"Choeur royal de la Cathédrale de Berlin"	"Choeur royal de la Cathédrale, Berlin"
"Choeur Romand"	"Choeur romand"
"Choeur Paroissial du temple de Carouge"	"Choeur paroissial du temple de Carouge"
"Choeur paroissial des Pâquis"	"Choeur paroissial des Pâquis, Genève"
"Choeur Paroissial des Eaux-Vives"	"Choeur paroissial des Eaux-Vives, Genève"
"Choeur paroissial des Eaux-Vives"	"Choeur paroissial des Eaux-Vives, Genève"
"Choeur paroissial de Plainpalais"	"Choeur paroissial de Plainpalais, Genève"
"Choeur mixte de Zurich"	"Choeur mixte, Zürich"
"Choeur mixte"	"Choeur mixte, Genève"
"Choeur mixte de Saint-Antoine"	"Choeur mixte de Saint-Antoine, Genève"
"Choeur du Victoria Hall"	"Choeur du Victoria Hall, Genève"
"Choeur du COnservatoire"	"Choeur du Conservatoire de Lausanne"
"Choeur du Conservatoire"	"Choeur du Conservatoire de Lausanne"
"Choeur des instituteurs de Moravie de Prague"	"Choeur des instituteurs de Moravie, Praha"
"Choeur des enfants de l'Ecole des Eaux-Vives"	"Choeur des enfants de l'Ecole des Eaux-Vives, Genève"
"Choeur de la Société symphonique"	"Choeur de la Société symphonique, Genève"
"Choeurs de la Société symphonique"	"Choeur de la Société symphonique, Genève"
"Choeur de l'Union des Étudiants Polonais de Winterthour"	"Choeur de l'Union des Étudiants Polonais, Winterthur"
"Choeur de l'Eglise russe"	"Choeur de l'Eglise russe, Genève"
"Choeur de jeunes filles"	"Choeur de jeunes filles, Genève"
"Choeur de dames du Conservatoire"	"Choeur de dames du Conservatoire, Lausanne"
"Choeur d'enfants"	"Choeur d'enfants, Genève"
"Choeur d'enfants de l'école des Pervenches"	"Choeur d'enfants de l'école des Pervenches, Genève"
"Choe, Haesun"	"Choe, Haesung"
"Chevillard, C."	"Chevillard, Camille"
"Cheridjian-Charrey (Mme)"	"Chéridjian, Nina"
"Cheridjian, N."	"Chéridjian, Nina"
"Chéridjian, N."	"Chéridjian, Nina"
"Cheridjean"	"Chéridjian"
"Cherechewsky"	"Cherechewski"
"Charrot, F."	"Charrot, Fernand"
"Chapuis, M."	"Chapuis, Marcel"
"Chapuis, Suzanne"	"Chappuis, Suzanne"
"Chapelle Ketten"	"Chapelle Ketten, Genève"
"Chapelle Hongroise-Tzigane"	"Chapelle hongroise-tzigane"
"Chanteuses de la Colombière"	"Chanteuses de la Colombière, Genève"
"Chanteurs des Basiliques patriarcales romaines"	"Chanteurs des Basiliques patriarcales, Roma"
"Chanteurs des Basiliques patriarcales romaines et de la Chapelle Sixtine"	"Chanteurs des Basiliques patriarcales romaines et de la Chapelle Sixtine, Roma"
"Chaïkin, N."	"Chaïkin, Nathan"
"Cercle J. S. Bach"	"Cercle J. S. Bach, Genève"
"Cercle J.-S. Bach"	"Cercle J. S. Bach, Genève"
"Cercle Jean-Sébastien Bach"	"Cercle J. S. Bach, Genève"
"Cercle Jean-Sébastien Bach de Genève"	"Cercle J. S. Bach, Genève"
"Cercle des Beaux-Arts"	"Cercle des Beaux-Arts, Genève"
"Cercle de musique de chambre"	"Cercle de musique de chambre, Genève"
"Cercle Choral"	"Cercle choral, Genève"
"Cercle choral"	"Cercle choral, Genève"
"Cercle Choral de Genève"	"Cercle choral, Genève"
"Cercle choral de Genève"	"Cercle choral, Genève"
"Cercle Choral Féminin"	"Cercle choral féminin, Genève"
"Cercle choral féminin"	"Cercle choral féminin, Genève"
"Cécilienne"	"Cécilienne, Genève"
"La Cécilienne"	"Cécilienne, Genève"
"Société chorale La Cécilienne"	"Cécilienne, Genève"
"Société chorale la Cécilienne"	"Cécilienne, Genève"
"Société la Cécilienne"	"Cécilienne, Genève"
"Castellon, José-Daniel"	"Castellón, José-Daniel"
"Casimiri, R. C."	"Casimiri, Raffaele Casimiro"
"Casanelli d'Istria, Anré"	"Casanelli d'Istria, André"
"Casedesus, R."	"Casadesus, Robert"
"Cartel des chorales ouvrières"	"Cartel des chorales ouvrières, Genève"
"Carrichon, M. (Mlle)"	"Carrichon, Marguerite"
"Carreno, Teresa"	"Carreño, Teresa"
"Carmigola, Giuliano"	"Carmignola, Giuliano"
"Capoulade, Fr."	"Capoulade, François"
"Camérini"	"Camerini"
"Cambrun, Todd"	"Cambrun, Todd Richard"
"Cailler, H."	"Cailler, Henri"
"Cahen, A."	"Cahen, Albert"
"Caecilienverein Bern"	"Caecilienverein, Bern"
"Caecilien-Verein de Soleure"	"Caecilien-Verein, Solothurn"
"Paul Cadet-Grégoire (Mme)"	"Cadet-Grégoire (Mme)"
"Busch, Adolphe"	"Busch, Adolf"
"Bürgermusik de la Ville de Lucerne"	"Bürgermusik, Luzern"
"Burger, P."	"Burger, Paul"
"Burenne, H."	"Burenne, Henriette"
"Brunner, C."	"Brunner, Camille"
"Brunet, P."	"Brunet, Paul"
"Brun, F."	"Brun, Fritz"
"Bruel, J."	"Bruel, Jeanne"
"Brownless, Edmond"	"Brownless, Edmund"
"Breittmayer, M. (Mlle)"	"Breittmayer, Maggy"
"Breittmeyer, Maggy"	"Breittmayer, Maggy"
"Brandia, B."	"Brandia, Benito"
"Boveyron, G. (Mlle)"	"Boveyron, Germaine"
"Bovet, Abbé"	"Bovet"
"Boulenaz, Pierre"	"Boulénaz, Pierre"
"Bosson, L. (Mlle)"	"Bosson, Laure"
"Boskoff, G."	"Boskoff, Georges"
"Borner, Klaus"	"Börner, Klaus"
"Bordeaux (Mlle)"	"Bordeaux, de (Mlle)"
"Bonny, E."	"Bonny, Edouard"
"Bonnet, H."	"Bonnet, Henri"
"Bonnet, Henry"	"Bonnet, Henri"
"Bonade, L."	"Bonade, Louis"
"Bonade, Loius"	"Bonade, Louis"
"Bonade, Louis (dir)"	"Bonade, Louis"
"Bodet, F."	"Bodet, Francis"
"Bodet, F. (dir)"	"Bodet, Francis"
"Bobo, R."	"Bobo, Roger"
"Bley, de"	"Bleye, de"
"De Bleye"	"Bleye, de"
"Blanchet, E.R."	"Blanchet, E.-R."
"Blanc-Garin, F. (Mlle)"	"Blanc-Garin, Fernande"
"Birnbaum, Alex"	"Birnbaum, Alexandre"
"Birnbaum, Alex."	"Birnbaum, Alexandre"
"Bronislaw, Bilewicz"	"Bilewicz, Bronislaw"
"Besaçon, Thierry"	"Besançon, Thierry"
"Besançon, T."	"Besançon, Thierry"
"Bernand, G."	"Bernand, Georges"
"Orchestre Philharmonique de Berlin"	"Berliner Philharmoniker, Berlin"
"Orchestre philharmonique de Berlin"	"Berliner Philharmoniker, Berlin"
"Berkovits, F."	"Berkovits, Françoise"
"Bergalonne, F."	"Bergalonne, Francis"
"Benoit, Ellen"	"Benoît, Ellen"
"Benoit"	"Benoît"
"De Belocca, Anna"	"Belocca, Anna de"
"Société de Belles Lettres"	"Belles-Lettres, Genève"
"Société des Belles-Lettres"	"Belles-Lettres, Genève"
"Société des Belles-Lettres de Genève"	"Belles-Lettres, Genève"
"Beckmans, G."	"Beckmans, Guy"
"Bavaud, Alex."	"Bavaud, Alexandre"
"Batterie de tambours"	"Batterie de tambours, Genève"
"Bastard-Foex, E. (Mme)"	"Bastard-Foëx, E. (Mme)"
"Bastard-Foex (Mme)"	"Bastard-Foëx (Mme)"
"de Bas"	"Bas, de"
"Barthelemy"	"Barthélemy"
"Bardou, E."	"Bardou, Etienne"
"Barberi, Silvie"	"Barberi, Sylvie"
"Barassi, L."	"Barassi, Louise"
"Barassi, L. (Mme)"	"Barassi, Louise"
"Banda municipale de Barcelone"	"Banda municipale, Barcelona"
"Ballet Mireille Bonafe"	"Ballet, Mireille Bonafe"
"De Baets, Géraldine"	"Baets, Géraldine"
"Baechler, G."	"Baechler, Georges"
"Bacquié"	"Bacqué"
"Baccheta, Nadia"	"Bacchetta, Nadia"
"Frères Averino"	"Averino (frères)"
"Orchestre de l'Augusteo de Rome"	"Augusteo, Roma"
"L'Atelier contemporain du Conservatoire de Lausanne"	"Atelier contemporain du Conservatoire de Lausanne"
"Arioso,Roberto"	"Arioso, Roberto"
"Arbeiter Knabenmusik de Zurich"	"Arbeiter Knabenmusik, Zürich"
"Appia, E"	"Appia, Edmond"
"Appia, Ed."	"Appia, Edmond"
"N. N."	"Anonymus"
"n.n."	"Anonymus"
"Andreossi, Violette"	"Andréossi, Violette"
"Andreossi, V. (Mme)"	"Andréossi, V. (Mme)"
"Andersen, Ole"	"Andersen, Ole-Kristian"
"Harmonie des Anciens Ondins"	"Anciens Ondins, Genève"
"Les Amis chanteurs"	"Amis chanteurs"
"Amicale Syndicat C.G.T.E."	"Amicale Syndicat C.G.T.E., Genève"
"Amicale accordéoniste genevoise"	"Amicale accordéoniste, Genève"
"Alouette choral mixte fribourgeoise costumée"	"Alouette choral mixte costumée, Fribourg"
"Albert, de"	"Albert, Eugène d'"
"Albert, Eugen d'"	"Albert, Eugène d'"
"Akerlund, Lina"	"Akerlund, Lina Maria"
"Achron, Isidor"	"Achron, Isidore"
"G***, A."	"A. G."
"A***"	"A."
